Response ID,Female,Leader,Rank,Shift,Station,Nbetweenness,NormInDeg,Flexibility1,Adaptability1,Stability,Predictability,Innovative,QuicklyRespondsOpportunities,Willingnesstoexperiment,Risk-taking,Beingcareful,Autonomy,Rule-oriented,Analytical,Attentiontodetail,Precision,Team-oriented,Informationsharedfreely,Emphasizesasingleculturethroughout,Fairness,Respectforindividualrights,Tolerance,Informality,People-oriented,Easygoing,Calm,Supportive,Aggressive,Decisiveness,Actionorientation,Takinginitiative,Beingreflective,Achievementorientation,Beingdemanding,Takingindividualresponsibility,Highexpectationsforperformance,Opportunitiesforprofessionalgrowth,Highpayforgoodperformance,Securityofemployment,Praises/recognizesgoodperformance,Lowlevelofconflict,Confrontsconflictdirectly,Developingfriendshipsatwork,Fittingin,Workingincollaborationwithothers,Enthusiasmforthejob,Workinglonghours,Notconstrainedbymanyrules,Emphasisonquality,Beingdistinctive/differentfromothers,Reputation,Beingsociallyresponsible,Resultsorientation,clearguidingphilosophy,Beingcompetitive,Beinghighlyorganized
1000,0,1,CAPTAIN,B,1,0.253,2.804,2,3,5,5,1,3,2,2,6,6,7,4,7,8,1,9,8,5,6,4,4,3,5,5,5,7,6,5,6,4,6,7,4,6,5,9,3,5,4,7,5,5,3,4,6,5,6,4,3,2,7,8,4,8
1001,0,0,FIREFIGHTER,A,1,0,0,4,1,5,9,4,7,2,5,6,5,4,6,7,6,2,9,4,4,7,4,5,8,8,4,6,5,6,6,4,4,6,7,1,2,2,5,7,3,5,5,8,5,3,3,5,5,8,3,7,3,6,5,3,6
1002,0,0,DRIVER,B,8,0,0,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,,1,,,,2,2,3,,3,,,3,2,2,3,,,
1003,0,1,FIRE INSPECTOR,D,Fire Marshall,0,1.869,5,4,4,7,5,4,4,2,6,6,6,5,2,5,1,4,5,6,5,7,7,3,8,8,5,9,5,3,4,7,2,5,3,3,2,9,6,4,8,3,7,7,1,4,6,8,3,5,4,6,5,6,5,6
1004,0,0,FIREFIGHTER,C,1,0,0,5,5,4,6,6,6,5,8,2,8,9,6,4,5,2,5,8,4,4,5,6,1,3,4,1,5,2,5,3,5,6,9,4,7,4,8,3,3,3,5,7,7,4,6,7,7,4,6,2,3,5,5,7,6
1005,1,0,ADMIN ASSISTANT,D,Admin,0.623,0.935,4,6,5,7,1,3,2,4,6,7,5,4,3,7,4,9,6,5,5,8,6,5,6,6,3,8,7,4,4,3,4,7,2,1,3,9,5,4,5,2,5,7,3,4,8,5,2,6,5,5,5,6,6,8
1006,1,0,ADMIN ASSISTANT,D,Fire Marshall,0,0.935,4,5,3,8,5,6,6,6,5,7,4,6,5,6,1,5,6,4,3,5,9,1,6,7,3,8,7,5,3,7,3,7,4,2,3,8,5,4,5,6,5,8,2,4,4,9,2,6,4,5,5,7,4,2
1007,0,0,FIREFIGHTER,B,3,0,1.869,,3,,,,,,2,,,3,,3,,,,,,,2,,,,,,,,,,,,3,,2,,,,,,2,,3,,,1,1,,,,,,,3,
1008,0,1,FIRE INSPECTOR,D,Fire Marshall,0,1.869,3,7,3,9,4,4,4,7,4,5,5,7,3,7,1,4,6,4,5,7,7,1,5,5,4,8,6,5,4,5,6,8,6,2,5,6,6,5,9,5,6,8,3,2,8,6,2,6,3,3,5,4,5,2
1009,0,0,FIREFIGHTER,A,1,0,0,3,3,7,5,4,7,7,6,6,8,5,4,5,5,2,6,8,5,2,2,4,2,3,3,1,4,4,6,4,3,5,5,6,4,5,9,5,6,9,7,3,4,5,5,6,7,8,5,6,4,7,6,1,8
1010,0,0,FIREFIGHTER,C,1,0,0,,,,,,,,,,,2,,,,1,,,,1,2,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,0,0,FIREFIGHTER,B,2,0.035,0.935,4,5,3,7,3,5,3,3,2,6,5,1,6,6,4,9,4,8,7,6,5,7,5,7,8,5,6,4,5,6,4,3,8,5,2,8,3,7,6,6,4,5,4,6,7,1,5,2,5,5,2,9,4,4
1012,0,1,CAPTAIN,B,4,0,0.935,3,3,2,3,5,7,5,7,3,7,2,7,2,2,3,7,6,7,6,8,3,4,4,4,6,5,6,1,4,6,5,6,4,4,4,4,4,5,5,9,5,6,5,8,5,6,5,6,1,5,8,9,5,8
1013,0,1,BATTALION CHIEF,A,1,0,18.692,2,5,5,5,1,6,2,5,5,6,9,4,6,6,2,5,7,3,5,6,8,5,7,5,1,4,6,4,3,6,7,8,4,7,3,9,3,4,6,6,5,7,3,4,8,8,4,4,2,5,5,7,4,3
1014,1,0,ADMIN ASSISTANT,D,Support Services,0,0.935,3,5,4,6,6,5,7,8,5,6,4,6,4,5,1,3,9,2,5,5,5,2,4,4,2,8,6,5,3,5,4,7,3,7,4,8,2,4,5,6,6,7,5,3,8,9,5,1,3,7,6,6,7,4
1015,0,1,CAPTAIN,B,3,0,2.804,7,3,2,3,5,5,5,5,6,5,2,5,5,5,3,5,6,3,3,7,7,3,5,4,2,6,8,8,4,4,5,7,4,1,9,9,1,8,5,6,2,6,4,4,4,8,7,4,7,4,6,6,6,6
1016,0,0,FIREFIGHTER,C,1,0,0,4,4,2,4,6,7,5,7,6,5,6,4,8,6,3,9,5,6,4,7,5,3,6,5,2,8,5,4,6,7,1,8,3,5,1,5,2,4,5,7,5,4,3,6,8,9,5,4,3,6,2,3,7,5
1017,0,0,DRIVER,A,1,0,1.869,4,4,5,2,6,6,4,6,4,6,8,1,8,8,4,5,8,7,4,2,1,4,4,3,6,7,9,6,4,6,5,7,5,3,3,9,2,5,3,7,5,5,2,5,6,5,3,5,3,5,5,7,7,6
1018,0,0,FIREFIGHTER,A,4,0,0,3,3,3,7,7,5,6,8,6,7,9,9,6,4,5,6,6,5,2,7,5,3,4,4,5,1,2,6,5,5,5,4,8,7,4,5,4,6,5,6,7,4,2,3,8,8,1,5,2,6,5,4,3,4
1019,0,0,FIREFIGHTER,A,9,0,0.935,1,1,,3,,,,,3,,3,,,,,,,,,,,,,,,,,,,2,,,,2,,,2,,,,,,,2,,,3,,3,,3,,,
1020,0,1,BATTALION CHIEF,D,Operations,0,14.953,3,4,6,4,4,5,3,5,3,2,4,3,5,7,2,9,6,8,5,6,4,5,5,8,4,7,9,7,6,5,5,7,1,5,6,6,4,5,6,8,3,4,1,4,5,7,3,2,5,8,2,7,6,6
1021,1,0,ADMIN ASSISTANT,D,Training,0,3.738,7,5,5,7,4,2,6,5,4,7,5,7,3,5,3,9,7,5,6,3,5,2,4,6,1,5,3,1,2,6,5,4,6,5,8,6,2,8,4,9,6,6,4,5,4,4,3,7,5,4,6,8,3,8
1022,0,1,ASSISTANT CHIEF,D,Support Services,0,0.935,3,4,3,5,6,5,1,8,3,8,7,1,6,5,4,7,8,5,5,2,5,2,4,6,4,7,6,3,5,5,4,8,6,7,4,7,2,5,6,6,5,7,5,3,9,9,2,4,6,4,3,4,5,6
1023,0,0,FIREFIGHTER,B,1,0,0,3,4,3,6,4,5,6,7,5,8,6,5,5,7,1,3,9,2,4,5,7,5,5,5,2,7,5,7,4,7,6,4,3,2,1,9,6,3,5,8,6,6,2,4,8,5,3,4,4,6,6,4,5,8
1024,0,1,ASSISTANT CHIEF,D,Support Services,0.46,3.738,5,4,5,3,7,6,6,6,5,4,5,8,9,7,2,8,7,4,5,5,1,3,3,6,4,5,5,6,5,7,6,1,9,8,4,6,3,4,6,5,2,2,4,4,7,2,8,5,3,7,4,5,3,6
1025,0,1,CAPTAIN,C,4,0,0,5,6,6,3,6,6,5,4,2,5,6,6,6,6,2,6,8,7,4,7,4,1,3,3,7,2,7,5,4,4,4,3,5,4,5,8,9,5,4,7,1,8,4,5,5,5,3,5,3,9,2,7,5,8
1026,0,0,DRIVER,B,3,1.22,0.935,4,3,4,2,6,5,3,7,3,4,2,5,6,6,5,7,4,8,5,5,4,9,5,6,8,8,6,4,7,4,2,5,6,3,8,9,7,6,4,5,5,1,3,5,2,7,3,6,1,5,4,5,7,6
1027,0,0,FIREFIGHTER,C,9,0,0,3,1,5,4,5,4,3,3,2,6,3,4,5,5,1,,,,,,,2,5,,,2,4,4,5,3,5,4,4,4,,,,,,4,,5,5,,,,6,5,2,,5,5,,3
1028,0,0,DRIVER,C,8,0,0.935,,4,3,2,4,,3,,4,,,,,,,,,,,2,3,,2,4,,,,,,3,4,,,4,,,2,,3,,,1,4,,,3,4,4,1,,,,,
1029,0,0,DRIVER,A,9,0,0,3,2,7,5,5,5,5,8,2,5,1,5,8,8,2,8,5,7,5,5,5,2,5,5,7,6,7,3,7,6,3,6,6,4,3,9,4,6,6,4,4,3,3,4,6,9,7,6,4,4,6,4,4,1
1030,0,1,FIRE MARSHALL,D,Fire Marshall,0,3.738,5,5,3,3,5,6,5,8,7,7,5,5,5,8,5,9,6,6,6,5,3,9,7,7,4,1,7,2,3,6,4,8,4,5,4,4,4,3,6,8,6,7,4,1,4,2,5,4,3,6,2,5,2,6
1031,0,0,DRIVER,A,1,0.112,1.869,2,7,2,7,6,4,5,7,6,5,1,7,6,6,3,5,4,4,5,4,5,6,7,8,5,8,4,5,3,7,1,6,3,4,4,6,4,5,8,5,9,8,4,3,9,2,3,5,2,6,6,5,5,3
1032,0,0,DRIVER,A,5,0,0,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,2,,,,1,,,,,,,,
1033,0,0,DRIVER,B,5,0,0,4,2,4,4,4,3,1,4,6,6,4,3,6,6,3,6,6,6,6,2,4,6,3,9,4,8,8,8,8,2,3,9,4,2,7,7,7,5,5,5,5,3,1,5,5,5,5,5,5,7,7,5,5,7
1034,0,1,CAPTAIN,A,5,0,0,2,3,7,8,4,7,2,3,3,4,6,4,7,8,6,7,7,5,6,2,4,5,4,5,6,5,8,5,4,4,5,6,5,6,7,8,5,6,1,6,4,3,3,6,5,3,5,2,1,4,5,9,5,9
1035,0,1,BATTALION CHIEF,C,1,0,14.953,4,5,5,3,7,7,5,4,5,5,6,8,7,8,5,7,4,4,2,2,2,4,2,4,5,6,9,5,6,4,6,6,6,6,1,9,1,5,3,7,3,3,5,4,5,3,6,8,4,3,5,7,6,8
1036,0,0,DRIVER,B,1,0.758,0.935,2,4,3,3,5,6,7,4,2,8,7,7,5,7,1,8,8,3,3,3,5,4,5,7,2,6,5,6,5,6,6,4,4,5,5,5,4,3,4,5,2,4,6,5,8,6,5,7,1,4,6,9,6,9
1037,0,0,DRIVER,A,2,0,0,,,,1,,,2,3,,3,,2,,,,,,,,,3,,,,,,,,,2,,3,,,,,,,,,,3,,,,1,3,2,,,,,,
1038,0,1,FIRE INSPECTOR,D,Fire Marshall,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
1039,0,1,CAPTAIN,B,7,0,2.804,5,4,6,6,4,5,,,5,,2,5,3,4,2,5,,,6,6,6,1,,5,4,3,5,4,3,,2,3,6,3,6,,6,5,5,6,5,,4,5,,,4,,4,4,3,1,2,5
1040,0,0,DRIVER,C,6,2.394,5.607,4,4,5,6,3,5,3,2,6,5,6,4,7,7,5,8,6,7,7,4,3,7,5,5,6,7,5,6,4,5,4,8,3,5,3,8,9,5,4,6,9,6,2,5,8,2,4,1,2,3,4,6,5,1
1041,0,0,DRIVER,A,8,0,0.935,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,0,0,FIREFIGHTER,A,3,0,0.935,7,5,4,4,1,4,6,2,4,6,3,5,7,5,8,6,3,6,5,7,6,5,7,6,7,3,4,5,2,5,4,3,5,5,6,9,6,5,4,2,7,3,8,4,3,1,5,2,8,9,5,6,4,8
1043,0,0,DRIVER,C,3,0.097,0.935,1,3,2,6,3,7,5,8,7,6,5,4,6,5,4,7,5,2,4,7,6,5,1,4,3,8,4,5,3,5,5,9,5,7,2,8,2,5,5,5,4,6,3,4,9,6,6,6,3,6,4,7,4,8
1044,0,1,ASSISTANT CHIEF,D,Operations,0,11.215,3,4,3,4,2,4,5,5,8,6,8,6,5,7,2,5,2,2,5,5,7,5,7,6,5,9,4,5,5,6,6,9,3,3,4,6,6,4,6,7,5,7,3,1,8,6,1,8,4,3,4,4,7,5
1045,0,0,DRIVER,B,5,0.507,0.935,6,7,8,5,8,6,3,5,3,1,7,4,4,5,4,6,9,6,7,4,3,6,4,3,6,4,4,4,3,6,6,5,6,5,8,5,8,5,2,5,5,2,7,2,4,2,5,1,3,5,7,5,7,9
1046,0,0,DRIVER,C,3,0,0.935,4,4,4,4,4,5,1,5,5,5,5,5,5,5,5,5,2,5,5,6,6,6,6,6,6,3,3,6,6,6,7,2,7,3,7,7,2,7,4,4,4,3,3,3,1,2,7,4,8,8,8,8,9,9
1047,0,0,DRIVER,C,6,0.004,0.935,2,2,1,5,4,6,5,4,4,7,5,3,7,5,4,6,8,3,4,5,3,7,5,6,6,2,4,5,3,3,7,5,8,6,3,5,1,4,5,9,5,4,8,6,6,4,2,5,8,7,6,9,7,6
1048,0,0,FIREFIGHTER,C,9,0,0.935,2,2,2,2,3,3,3,8,3,3,3,7,7,7,7,4,4,4,4,9,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,5,5,6,8,6,6,6,6,9,8,6,8,6,6,1,6,7,7
1049,0,0,DRIVER,A,6,0,0,2,2,2,2,3,5,4,5,4,5,5,5,5,5,5,4,5,5,5,4,4,5,3,3,6,6,6,6,6,4,6,3,6,6,4,6,3,8,3,8,7,4,7,7,1,1,4,7,9,8,7,8,7,9
1050,0,1,FIRE INSPECTOR,D,Fire Marshall,0.212,2.804,5,6,5,2,5,3,7,8,3,7,5,7,5,6,5,9,5,4,5,5,6,4,4,4,2,8,5,3,4,6,6,9,4,7,5,4,2,3,4,5,8,6,1,4,8,7,2,7,1,3,3,6,6,6
1051,0,1,CAPTAIN,C,7,0,0.935,6,4,6,5,4,5,3,2,5,5,5,3,4,4,5,6,1,9,9,8,6,6,7,7,8,2,5,1,4,5,3,2,7,4,6,6,7,7,8,5,5,4,3,4,3,6,8,2,5,7,3,5,4,6
1052,0,1,CAPTAIN,A,6,0.062,0.935,3,3,3,1,3,3,3,7,2,7,7,7,7,6,4,6,4,6,4,2,4,4,4,2,4,4,4,6,6,2,6,6,6,6,7,9,9,1,8,8,8,5,5,5,5,5,5,5,8,5,5,5,5,5
1053,0,0,FIREFIGHTER,C,1,0,0,5,5,2,2,4,4,5,8,3,4,6,9,5,8,5,5,8,4,5,5,8,9,1,1,3,6,5,4,4,6,7,6,6,4,4,4,7,6,2,5,3,2,5,5,6,3,7,6,3,6,7,3,7,7
1054,0,0,FIREFIGHTER,B,5,0,0,4,5,3,1,8,6,6,6,3,6,5,5,7,7,5,5,5,4,5,4,3,5,2,3,5,7,5,6,7,5,6,4,6,8,9,9,2,8,3,7,3,2,5,4,1,4,6,7,2,4,4,4,6,8
1055,0,1,CAPTAIN,A,1,0.452,4.673,7,3,2,4,4,4,2,4,6,4,8,6,6,7,4,9,6,2,3,1,9,8,7,2,1,4,4,5,8,5,7,5,4,5,5,6,8,5,7,3,5,5,3,3,6,6,5,6,5,3,7,5,6,5
1056,0,0,DRIVER,A,2,0,0.935,6,5,3,5,2,7,7,5,9,6,6,2,3,5,4,7,9,4,6,6,5,3,5,7,4,2,4,7,3,6,5,7,4,5,2,8,3,6,5,3,4,8,5,4,8,8,4,1,1,5,6,5,4,6
1057,0,1,CAPTAIN,C,9,0.495,2.804,4,4,4,6,4,5,5,4,5,3,7,5,6,7,1,5,7,4,5,5,8,2,8,6,4,5,5,3,3,6,2,5,5,1,2,9,6,6,6,5,7,7,4,2,7,8,3,6,3,4,3,8,6,9
1058,0,0,DRIVER,C,1,0.667,3.738,5,3,5,6,2,8,1,6,6,7,6,4,7,7,3,6,7,6,4,5,1,4,5,6,6,2,2,3,4,4,4,8,5,3,4,8,4,5,4,8,5,6,5,3,7,5,5,7,2,5,3,9,5,9
1059,0,0,FIREFIGHTER,A,8,0,0,3,4,3,7,4,9,6,7,2,6,8,4,5,6,5,6,7,5,4,3,5,3,4,3,6,5,6,5,6,3,5,8,6,5,4,7,6,5,7,8,5,5,2,5,7,1,4,2,1,2,4,8,4,9
1060,0,0,DRIVER,B,6,0.168,0.935,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,2,,,,1,
1061,0,0,FIREFIGHTER,D,Training,0,1.869,2,1,4,5,5,5,5,4,6,5,4,7,8,5,3,4,5,3,8,3,6,5,6,6,7,6,8,4,2,7,1,6,7,5,4,5,4,3,5,6,6,6,3,2,9,9,3,8,7,4,5,4,2,7
1062,0,1,CAPTAIN,A,1,0.709,4.673,4,2,5,1,2,6,3,5,8,7,5,3,3,4,2,6,5,5,4,7,9,5,8,6,5,5,5,4,3,5,4,6,4,5,7,7,1,6,8,6,5,8,4,7,7,9,3,6,6,2,3,6,4,4
1063,0,0,FIREFIGHTER,A,9,0,0.935,5,5,2,4,5,7,2,2,4,5,4,4,7,7,7,9,8,7,7,4,2,6,1,4,5,5,6,5,6,4,6,4,5,3,6,8,3,8,5,8,5,4,5,3,3,1,6,3,5,3,6,9,6,6
1064,0,0,DRIVER,B,1,0,0.935,6,6,2,2,6,6,6,5,6,4,4,4,6,5,4,7,6,7,7,1,4,5,3,5,6,4,8,5,5,4,5,5,7,4,9,9,1,7,3,4,2,3,5,3,3,3,8,8,5,2,5,8,5,7
1065,0,1,CAPTAIN,B,6,0.838,3.738,1,6,6,6,6,6,6,6,2,7,5,5,5,5,3,5,3,2,1,2,2,5,7,9,5,5,5,6,7,8,8,5,3,3,5,5,3,3,8,6,4,4,4,7,9,8,4,7,4,4,4,4,4,7
1066,0,1,CAPTAIN,A,8,0.026,0.935,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,1,2,,,,
1067,0,0,DRIVER,B,4,0,0,4,4,3,3,4,4,4,6,6,6,2,3,3,3,4,8,5,7,6,5,7,8,5,5,5,6,4,4,4,6,2,7,5,2,7,9,6,9,5,5,8,7,5,7,5,8,3,6,1,2,1,5,5,6
1068,0,0,FIREFIGHTER,B,9,0,0.935,2,4,2,6,4,5,3,6,1,7,5,9,5,7,2,5,8,6,5,5,6,4,6,8,5,5,4,6,5,4,6,6,3,4,2,3,1,7,3,5,3,8,6,7,9,7,7,5,3,4,4,8,5,4
1069,0,1,BATTALION CHIEF,B,1,1.394,5.607,3,3,5,6,1,7,3,4,6,6,4,7,4,5,2,6,9,1,4,5,6,5,7,5,3,8,6,5,2,7,4,8,5,5,4,9,4,5,2,6,7,4,3,5,8,6,5,8,2,3,4,5,6,7
1070,0,0,FIREFIGHTER,C,8,0,0.935,4,5,1,5,5,6,4,7,5,8,6,2,4,8,3,5,8,5,4,6,2,3,7,5,7,4,5,5,6,4,6,2,2,5,3,3,7,3,6,6,4,8,7,5,9,9,7,5,1,6,6,3,4,4
1071,0,1,CAPTAIN,C,5,1.114,4.673,1,3,2,6,5,7,3,5,3,8,9,6,7,4,5,8,8,3,7,5,4,5,6,4,6,3,8,5,4,7,6,5,4,2,4,6,1,5,5,2,4,9,5,3,7,6,6,4,2,4,7,5,5,6
1072,0,0,FIREFIGHTER,A,4,0,0,2,2,2,1,2,9,9,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,1,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
1073,0,0,FIREFIGHTER,B,7,0,0.935,3,2,4,6,5,5,6,7,5,7,6,4,6,7,1,9,9,3,4,4,5,2,5,3,3,8,4,4,5,8,6,8,5,1,2,4,3,5,3,6,5,4,5,4,8,7,6,7,2,5,5,7,6,6
1074,0,0,FIREFIGHTER,B,1,0,0,6,2,4,8,5,6,5,8,2,7,5,6,4,4,3,7,8,3,4,7,6,3,3,3,1,5,5,5,5,6,5,7,6,6,5,9,6,2,7,4,2,5,4,4,9,8,6,7,1,3,5,5,4,4
1075,0,0,FIREFIGHTER,A,1,0.805,3.738,4,4,3,3,7,4,5,6,1,8,3,6,7,4,6,5,9,6,5,3,7,6,4,8,5,5,4,6,5,8,2,6,5,7,3,5,1,3,4,5,9,2,5,6,4,7,5,4,6,2,2,8,5,7
1076,0,0,DRIVER,C,5,0.448,2.804,3,3,3,3,3,3,4,4,4,4,4,1,4,4,4,4,5,5,5,5,2,5,5,5,5,5,5,5,5,6,2,2,6,6,6,6,6,6,6,6,7,7,1,7,7,7,2,7,8,8,8,8,9,9
1077,0,1,CAPTAIN,D,Training,0,1.869,6,6,4,2,8,9,7,6,3,6,4,3,5,7,3,7,5,3,3,1,2,5,2,4,4,5,6,5,7,7,5,5,6,5,8,9,2,4,1,8,4,3,5,4,5,8,5,6,4,4,5,6,7,6
1078,0,1,CAPTAIN,C,6,1.86,8.411,3,2,4,5,6,7,4,6,7,5,2,5,4,6,3,8,5,4,8,7,6,4,6,7,4,1,3,2,3,5,5,8,4,2,5,9,5,5,6,8,7,6,4,3,7,9,1,5,3,6,4,5,5,6
1079,0,0,FIREFIGHTER,C,4,0,0,1,5,3,7,5,7,5,7,3,5,3,7,5,7,2,5,7,5,9,5,9,5,8,5,3,2,4,4,4,4,4,8,5,8,4,4,2,4,4,5,8,3,6,6,3,6,6,6,1,2,6,6,6,6
1080,0,0,DRIVER,B,2,0,1.869,3,1,1,4,4,3,5,6,4,7,6,6,7,7,3,8,5,2,3,4,7,5,4,2,4,6,5,5,5,4,6,6,6,6,2,9,2,5,5,8,4,3,4,5,7,7,3,5,6,5,5,8,9,8
1081,0,0,FIREFIGHTER,B,8,0,0,4,4,4,2,4,4,4,4,4,3,4,3,5,5,5,5,3,5,5,5,5,5,5,5,5,6,3,6,6,6,6,6,6,6,6,7,1,7,7,2,7,7,2,7,3,8,2,1,8,8,3,8,9,9
1082,0,1,CAPTAIN,B,5,0,1.869,1,1,5,9,5,5,2,6,5,6,4,6,4,7,2,3,7,7,5,5,6,3,5,4,6,2,8,5,3,5,4,7,5,6,3,8,3,7,4,4,6,5,6,8,9,6,4,5,3,4,4,8,2,7
1083,0,0,FIREFIGHTER,A,1,0,0,1,2,4,7,3,4,5,9,5,8,7,6,8,7,1,6,9,3,6,5,5,2,4,4,2,6,5,5,4,4,3,8,4,4,5,7,5,6,5,6,4,5,6,3,7,6,3,8,3,5,2,6,5,7
1084,0,1,ASSISTANT CHIEF,D,Fire Marshall,0,5.607,4,4,6,9,1,5,3,5,3,5,6,8,5,8,6,3,7,4,2,4,5,5,5,4,5,6,7,6,5,3,3,9,4,5,1,6,3,6,4,7,5,4,6,8,2,4,6,7,5,2,8,7,2,7
1085,0,1,FIRE INSPECTOR,D,Fire Marshall,0,1.869,3,2,2,8,5,4,3,8,6,4,6,7,6,7,5,4,4,4,8,6,7,3,6,5,2,7,5,6,5,6,5,8,5,1,6,9,4,5,4,4,3,7,5,3,9,7,5,1,2,5,6,4,5,3
1086,0,0,DRIVER,B,2,0.108,0.935,5,3,6,6,5,3,3,9,6,8,4,5,5,7,5,9,5,4,3,6,7,2,5,8,1,7,6,7,4,6,2,7,5,5,3,8,2,4,5,6,2,5,3,4,7,8,4,5,4,4,6,6,1,4
1087,0,0,DRIVER,A,5,0.719,2.804,2,3,2,6,5,6,4,5,4,8,7,7,5,6,2,7,7,3,4,5,4,1,5,7,3,5,6,4,4,8,5,9,4,6,3,8,1,5,6,4,5,6,3,3,9,6,5,6,2,5,4,7,5,8
1088,0,1,CAPTAIN,C,8,0,1.869,6,4,4,6,6,2,6,5,1,5,6,6,6,5,2,6,6,5,2,2,7,7,7,7,4,4,7,7,4,4,5,4,5,3,5,5,3,5,8,5,5,4,3,5,4,8,3,9,1,3,8,9,3,8
1089,0,0,FIREFIGHTER,A,1,0,0,6,5,6,8,4,3,6,6,5,6,5,5,4,4,3,7,9,5,4,8,5,5,5,4,1,2,7,5,2,3,6,7,2,2,1,7,9,6,5,6,3,4,4,3,8,7,5,8,4,3,7,5,6,4
1090,0,0,FIREFIGHTER,C,1,0,0,5,6,5,6,5,4,6,5,5,6,4,6,4,4,4,8,9,7,7,6,7,2,7,6,6,4,5,5,4,3,6,8,4,3,3,5,3,5,3,4,5,7,5,2,9,8,1,5,1,2,7,3,8,2
1091,0,0,DRIVER,A,2,0,0,4,6,4,5,5,8,1,7,4,5,6,4,5,5,6,9,6,5,7,2,2,5,3,4,9,8,5,7,4,3,5,2,8,3,7,5,3,7,2,5,6,4,6,4,6,1,4,3,6,5,3,7,8,6
1092,0,0,DRIVER,A,3,0.063,0.935,6,3,7,2,4,4,1,3,4,4,4,2,4,4,6,7,5,8,4,1,3,5,6,6,7,5,6,5,5,5,6,5,5,5,2,8,7,8,6,5,5,3,9,2,5,6,3,4,9,6,7,7,3,8
1093,0,1,CAPTAIN,B,8,0,0.935,2,2,3,5,2,3,5,6,3,6,3,7,7,8,2,6,7,5,4,5,4,5,5,5,5,3,6,8,5,6,6,1,4,6,9,9,4,8,5,7,5,4,1,3,4,4,6,8,4,5,4,7,6,7
1094,0,0,DRIVER,C,9,0,0.935,1,6,6,8,5,4,3,4,1,5,3,3,5,9,6,5,4,5,6,5,2,5,6,7,6,4,2,5,5,8,5,2,3,4,7,6,6,7,8,3,7,2,8,6,4,5,4,3,7,5,4,9,4,7
1095,0,0,DRIVER,C,4,0,0,5,4,6,7,5,4,4,5,5,5,6,5,4,6,1,7,7,3,3,7,8,3,8,8,5,4,5,4,3,5,3,8,4,2,1,9,5,3,6,5,7,6,5,4,9,7,2,6,2,6,6,6,4,2
1096,0,0,DRIVER,C,2,0,0,3,3,3,3,3,3,4,4,4,4,4,2,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,5,5,6,6,2,6,1,6,6,2,6,6,6,6,7,7,7,7,7,7,8,2,8,8,8,9,9
1097,0,1,CAPTAIN,A,7,0,0,7,5,5,2,3,5,3,4,2,3,1,4,3,4,5,6,6,6,7,7,6,7,9,8,8,4,5,4,5,7,3,4,6,2,5,9,5,5,7,4,8,8,5,6,5,4,3,5,1,4,2,6,6,6
1098,0,0,FIREFIGHTER,A,5,0,2.804,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,
1099,0,0,FIREFIGHTER,C,6,0,0.935,5,5,4,1,5,7,4,6,4,6,4,6,3,3,7,8,9,7,5,4,4,5,4,5,6,5,9,3,5,5,3,5,5,4,2,7,1,6,3,6,6,4,7,5,6,6,2,7,2,2,3,8,8,8